Accession No.,Book Title,Author,Price (INR),Price ($),Price (Pound),Publisher,Issue / Lost / Available,Book No. / Barcode,Book Shelf No.,No. of Copies,S. No.
2137,Fundamentals Of Database Systems (REPLACE),Elmasri Navathe,350,,,BPB,,932997,DCSE/E/98/5,1,1
2140,Fundamentals Of Database Systems (REPLACE),Elmasri Navathe,449.29,,,BPB,,932998,DCSE/E/98/5,1,2
3198,An Integrated Approach to Software Engineering,Jalote,350,,,Narosa,,1113387,DCSE/E/98/5,1,3
1721,Programming Languages(REPLACE),Pratt & Zelkourity,195,,,PHI,ISSUED (PKS),891163,DCSE/E/98/5,1,4
1839,Programming with C++ (REPLACE),Hubbard.J,,,,MC GRAW,,897893,DCSE/E/98/5,1,5
1722,Programming Languages (replace),Pratt & Zelkourity,195,,,PHI,,891162,DCSE/E/98/5,1,6
2360,Compilers,Aho Sethi Ullman,395,,,Pearson,,978707,DCSE/E/98/5,1,7
3105,UNIX Network Programming,Stevens,395,,,PHI,,1113551,DCSE/E/98/5,1,8
3215,Modern Operating System,Tanenbaum,450,,,PHI,,1113505,DCSE/E/98/5,1,9
3104,Intro. To Automata Theory Languages & Computation,"Hopcraft,Motwani,Ullman",465,,,Pearson,,1113405,DCSE/E/98/5,1,10
3203,Advanced Computer Architectures- A design space approach,"Sima, Fountain",655,,,Pearson,,1113382,DCSE/E/98/5,1,11
3166,Computer Graphics Principles & Practices in C,"Foley,Dam,Feiner,John",725,,,Pearson,,1113417,DCSE/E/98/5,1,12
3201,Advanced Computer Architectures- A design space approach,"Sima, Fountain",655,,,Pearson,,1113385,DCSE/E/98/5,1,13
3146,Operating Systems Internals & Design Principles,Stallings,525,,,Pearson,,1113521,DCSE/E/98/5,1,14
3102,Intro. To Automata Theory Languages & Computation,"Hopcraft,Motwani,Ullman",465,,,Pearson,,1113407,DCSE/E/98/5,1,15
3124,Fundamentals of Computer Algorithm,"Horowitz,sahni,Rajshekhran",375,,,University Press,,1113480,DCSE/E/98/5,1,16
3213,Artificial Intelligence- A Modern Approach,"Russell,Norvig",535,,,Pearson,,1113402,DCSE/E/98/5,3,17
3109,Artificial Intelligence ,"Rich,Knight,Nair",435,,,Tata MCG,,1113397,DCSE/E/98/5,2,1
3130,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113483,DCSE/E/98/5,2,2
3132,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113485,DCSE/E/98/5,2,3
3322,"Advanced Computer Architectures- Parallism, Scalability, Programmability","Hwang,J",650,,,McGRAW Hill,,1105728,DCSE/E/98/5,2,4
2587,Computer Organisation & Architecture,Stallings,350,,,PHI,,1064382,DCSE/E/98/5,2,5
2641,Distributed Systems 4th edition,Coulouris et al.,545,,,Pearson Education,,1064439,DCSE/E/98/5,2,6
3450,Computer Organization,Hamacher Zaky,,,,McGRAW Hill,,1120544,DCSE/E/98/5,2,7
1428,Programming in C++,Dewhurst Stark,150,,,Galgotia,,812224,DCSE/E/98/5,2,8
2421,Advanced Computer Architecture (REPLACE),"Dezso Sima. Peter. Terence,Fountain",475,,,Pearson Education,,998146,DCSE/E/98/5,2,9
2488,The Complete Reference JAVA J2SE 5th Edition (REPLACE),Schildt,425,,,Mc Graw Hill,,987989,DCSE/E/98/5,2,10
2412,Parallel Computing (REPLACE),Law,,,,Pearson Education,,972369,DCSE/E/98/5,2,11
2346,Data Structure & Algorithms,Aho,260,,,P/E,,937940,DCSE/E/98/5,2,12
2313,C by Example (REPLACE),Ray Duncan,,,,cup,,932799,DCSE/E/98/5,2,13
1929,Mathmatical Elements for Computer Graphics (REPLACE),Rogers,,11.95,,Mc Graw,,910068,DCSE/E/98/5,2,15
1179,Proce. Elements for Comp. Graphics,Rogers,,6.5,,Mc Graw,,1179,DCSE/E/98/5,2,16
1156,Introduction to Operation Research,Gillett,81,,,TMH,,806141,DCSE/E/98/5,2,17
2018,Introduction to Algorithms (REPLACE),Corman,275,,,PHI,,917106,DCSE/E/98/5,2,18
3148,Operating Systems Internals & Design Principles,Stallings,525,,,Pearson,,1113523,DCSE/E/98/5,2,18
3145,Operating Systems Internals & Design Principles,Stallings,525,,,Pearson,,1113542,DCSE/E/98/5,2,19
3158,Data & Computer Communication,Stallings,525,,,Pearson,,1113448,DCSE/E/98/5,2,19
3449,Computer Organization,Hamacher Zaky,,,,McGRAW Hill,,1120543,DCSE/E/98/5,2,20
1551,Understanding Pointers in C (REPLACE),Kanetkar,,,,,,855858,DCSE/E/98/5,2,21
3424,Machine Learning,Mitchell,,,,McGRAW Hill,,1120604,DCSE/E/98/5,2,23
2566,System Analysis & Design,Elias M. Awad,385,,,Galgotia,,1064359,DCSE/E/98/5,2,24
3377,"Thoery of computer science, automata , language & computation",Mishra & Chandrasekaran,,,,Eastern Economy Edition,,1120623,DCSE/E/98/5,2,25
546,Discrete Maths. : A Unified Approach,Witala,119.25,,,Mc Graw,,766500,DCSE/E/98/5,3,1
2825,An Integrated Approach to Software Engineering,Jalote,315,,,Narosa,,1056798,DCSE/E/98/5,3,2
3411,Data Mining concepts & techniques,"Han, Kamber & Jian Pei",,,,Elsevier,,1120578,DCSE/E/98/5,3,2
3001,Data Communications & Networking,Forouzan,435,,,Tata MCG,,1090277,DCSE/E/98/5,3,4
2819,Database System Concepts,Silberschatz,483,,,Mc Graw Hill,,1056790,DCSE/E/98/5,3,5
3177,Mathmatical Elements for Computer Graphics ,Rogers Adams,440,,,Tata MCG,,1113501,DCSE/E/98/5,3,6
2130,Schaum's Outlines Dis. Mathmatics,Lipschatz S.,225,,,Tata Mc Graw Hill,,932990,DCSE/E/98/5,3,7
2838,Computer Networks,Tanenbaum,375,,,Pearson Education,,1056812,DCSE/E/98/5,3,8
2837,Computer Networks,Tanenbaum,375,,,Pearson Education,,1056813,DCSE/E/98/5,3,9
3398,Wireless communications & Networks,William Stallings,,,,Pearson,,1120628,DCSE/E/98/5,3,10
2102,Operating Systems,Milenkovic,195,,,TMH,,936240,DCSE/E/98/5,3,11
2019,Algorithm,Cormen T.H.,275,,,PHI,,917107,DCSE/E/98/5,3,12
3302,Modern Information Retrieval,"Yates, R.B",449.1,,,Pearson,,1105805,DCSE/E/98/5,3,13
3413,Data Mining concepts & techniques,"Han, Kamber & Jian Pei",,,,Elsevier,,1120580,DCSE/E/98/5,3,14
3092,Data Communications & Networking,Forouzan,470,,,Tata MCG,,1113453,DCSE/E/98/5,3,15
3190,Operating Systems Concepts,"Silberschatz, Galvin",499,,,Wiley,,1113911,DCSE/E/98/5,3,16
2017,Algorithm,Cormen T.H.,,,,PHI,,907110,DCSE/E/98/5,3,17
3135,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113487,DCSE/E/98/5,3,19
3442,Fubdamentals of Digital Image Processing,A. Jain,,,,Pearson,,1120558,DCSE/E/98/5,3,20
2723,Introduction to Digital Image Processing with Matlab,Acandrew,325,,,Cengage Learning,,1056900,DCSE/E/98/5,3,21
2818,Database System Concepts,Silberschatz,483,,,Mc Graw Hill,,1056791,DCSE/E/98/5,3,22
2565,System Analysis & Design,Elias M. Awad,385,,,Galgotia,,1064360,DCSE/E/98/5,3,23
2580,Digital Logic & Computer Design,M. Morris Mano,265,,,Pearson Education,,1064377,DCSE/E/98/5,3,24
3415,Data Mining concepts & techniques,"Han, Kamber & Jian Pei",,,,Elsevier,,1120577,DCSE/E/98/5,4,1
3327,Computer Network,Tanenbaum,485,,,Pearson,,1105735,DCSE/E/98/5,4,2
3133,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113484,DCSE/E/98/5,4,3
3242,Cryptography & Network Security: Principles & Practices,"Stallings,W",425,,,Pearson,,1097715,DCSE/E/98/5,4,4
2584,Digital Logic & Computer Design,M. Morris Mano,265,,,Pearson Education,,1064380,DCSE/E/98/5,4,5
3091,Data Communications & Networking,Forouzan,470,,,Tata MCG,,1113454,DCSE/E/98/5,4,6
3081,Computer Oriented Numerical Methods,Rajaraman,95,,,PHI,,1113425,DCSE/E/98/5,4,7
2802,Introduction to Multiagent Systems,Michael W.,2898,,,Star Edu.,,1064805,DCSE/E/98/5,4,8
3396,Wireless communications & Networks,William Stallings,,,,Pearson,,1120625,DCSE/E/98/5,4,9
3433,Wireless communications Principles & practice,Rappaport,,,,Pearson,,1120558,DCSE/E/98/5,4,10
