Accession No.,Book Title,Author,Price (INR),Price ($),Price (Pound),Publisher,Issue / Lost / Available,Book No. / Barcode,Book Shelf No.,No. of Copies,S. No.
,Introduction to Computer Theory,Cohen,,,,Wiley India,,,DCSE/E/98/5,5,1
,Understanding Pointers in C,Kanetkar,,,,BPV,,,DCSE/E/98/5,5,2
,Operating system concepts,greg gagne,,,,Wiley,,donated,DCSE/E/98/5,5,3
,Simulation modelling and analysis,M-low,,,,SIE,,donated,DCSE/E/98/5,5,4
,Simulation modelling and analisys,M-low,,,,SIE,,donated,DCSE/E/98/5,5,5
,Let us c,Kanetkar,,,,BPV,,,DCSE/E/98/5,5,6
,Let us c,Kanetkar,,,,BPV,,,DCSE/E/98/5,5,7
,Digital Logic and computer design,m morris,,,,pearson,,,DCSE/E/98/5,5,8
,programming collective intelligence,toby,,,,Oreilly,,,DCSE/E/98/5,5,9
,Computer Networks,forouzan,,,,SIE,,,DCSE/E/98/5,5,11
,Data Mining : concepts and techniques,kamber,,,,MK,,,DCSE/E/98/5,5,12
,Programming in ANSI C,E Balagurusamy,,,,McGraw Hill,,,DCSE/E/98/5,5,13
,Software Modeling and design,hasan,,,,Cambridge,,,DCSE/E/98/5,5,14
,Modern Statistical System and GPSS simulation,Karian,,,,CRC Press,,donated,DCSE/E/98/5,5,15
,Data Mining,Shawkat Ali,,,,Cengage,,,DCSE/E/98/5,5,16
,The complete reference UNIX,Kenneth H rosen,,,,McGraw Hill,,,DCSE/E/98/5,5,17
,Fundamental of information communication technology,BK sharma,,,,YK publication,,,DCSE/E/98/5,5,18
,Computing fundamental in C programming,Balaguruswamy,,,,McGraw Hill,,,DCSE/E/98/5,5,19
,Fundamental Computers,Rajaraman,,,,PHI,,,DCSE/E/98/5,5,20
,Developing enterprise applications and web service using (J2EE Web components),Student Guide),,,,NIIT,,,DCSE/E/98/5,5,21
,Developing enterprise applications and web service using,Student Guide),,,,NIIT,,,DCSE/E/98/5,5,22
,Developing enterprise applications and web service using (XML),Student Guide),,,,NIIT,,,DCSE/E/98/5,5,23
,Developing enterprise applications and web service using (Projects),Student Guide),,,,NIIT,,,DCSE/E/98/5,5,24
,Developing enterprise applications and web service using (service components),Student Guide),,,,NIIT,,,DCSE/E/98/5,5,25
,Database driven websites,Morrison,,,,Course technology,,,DCSE/E/98/5,5,26
,GRE,Brown stein,,,,Barrons,,,DCSE/E/98/5,5,27
,,,,,,,,,CS/E/99-3,,
,,,,,,,,,CS/E/99-3,,
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,1
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,2
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,3
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,4
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,5
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,6
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,7
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,8
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,9
,Introduction to operations research,Billy E Gilett,,,,McGRAW Hill,,Donated,DCSE/6/1,1,10
,Computer Organisation and Architecture,William Stallings,,,,PHI,,,DCSE/6/1,1,12
,Visual Basic 6 programming,Steven Holzner,,,,Dreamtech press,,,DCSE/6/1,1,13
,Frontiers of Electronic Commerce,"Kalakota, winston",,,,Pearson,,,DCSE/6/1,1,14
,Software Metrics,Norman E fenton,,,,Chapman & hall,,16503,DCSE/6/1,1,15
,Software Engineering Principles and practices,Deepak Jain,,,,Oxford,,,DCSE/6/1,1,16
,Software Quality Assurances,Nina S Godbole,,,,Narosa,,,DCSE/6/1,1,17
,Procedural Elements for computer graphics,David f rogers,,,,McGRAW Hill,,,DCSE/6/1,1,19
,Networking in 24 hours,Matt Hayden,,,,Techmedia,,,DCSE/6/1,1,20
,Computer Graphics,Ak Prajapati,,,,Paragati Prakashan,,,DCSE/6/1,1,21
,UNIX system administration handbook,Nemeth Snyder seebass,,,,PH PTR,,,DCSE/6/1,2,1
,Advanced MS DOS,Ray Duncan,,,,bpb,,,DCSE/6/1,2,2
,Computer System Architecture,M morris mano,,,,Pearson,,,DCSE/6/1,2,3
,Computer Viruses,Rajneesh Kapoor,,,,bpb,,Donated,DCSE/6/1,2,4
,Computer Concepts,"Parsons, oja",,,,Thomson course technology,,,DCSE/6/1,2,5
,Windows Programming,jim conger,,,,Galgotia,,Donated,DCSE/6/1,2,6
,Visual C++,Chapman,,,,Techmedia,,Donated,DCSE/6/1,2,7
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2,8
,The UNIX programmign environment ,"Brian WK, Rob Pike",,,,PHI,,Donated,DCSE/6/1,2,9
,Statistical advances in bio sciences and bio informatics,Manju pander,,,,Allied publication,,,DCSE/6/1,2,10
,turbo pascal companion,satish jain,,,,bpb,,Donated,DCSE/6/1,2,11
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2,12
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2,13
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2,14
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2,15
,Simulation Modelling and analysis,Averill ML,,,,McGRAW Hill,,Donated,DCSE/6/1,2,16
,The C odyssey UNIX,"Neeta Gandhi, shah",,,,bpb,,,DCSE/6/1,2,17
,Theory of Computer Science,"KLP mishra, chandrashekhran",,,,PHI,,,DCSE/6/1,2,18
,software project secrets,george stepanek,,,,A Press,,,DCSE/6/1,2,19
,Theory of Computer Science,"KLP mishra, chandrashekhran",,,,PHI,,,DCSE/6/1,2,20
,Linux (teach yourself),"Craig, coletta",,,,Techmedia,,,DCSE/6/1,2,21
